it	posterior	prior	BD_lik	root_age	death_age	beta	lambda_0	mu_0	mu_1	shift_ex_1	tot_length
0	-3841.7480505786498	-14.687351599146183	-3827.0606989795037	1073.0	64.0	1.0	0.33562578550982813	0.11032223108145514	0.33068688156269821	569.92397983191529	7702.0
1000	-332.96444357788323	-14.925046290215068	-318.03939728766818	1073.0	64.0	1.0	0.0055462239985245871	0.0031943604672464015	0.01755099435270489	581.96199844053672	7702.0
2000	-333.00896951521719	-14.961922569273693	-318.04704694594352	1073.0	64.0	1.0	0.004892542766732148	0.0042375425384012406	0.0094700606515035288	580.5970402764367	7702.0
3000	-331.57250436358993	-14.958015230725893	-316.61448913286404	1073.0	64.0	1.0	0.00469323354932113	0.0037181509539394452	0.011486884297208053	572.85903939690661	7702.0
4000	-331.69907555875017	-15.021922390207514	-316.67715316854265	1073.0	64.0	1.0	0.0059592311155900832	0.0017092340580552535	0.0098547116541975316	565.08134955702963	7702.0
5000	-330.65251684045626	-14.952479139122651	-315.7000377013336	1073.0	64.0	1.0	0.0059741187209813532	0.0027967747030577706	0.01258169178984094	565.95616193255614	7702.0
6000	-333.18551637400583	-14.960312269356137	-318.22520410464966	1073.0	64.0	1.0	0.0051234331681600668	0.0020152183637075797	0.019166948518431169	549.43891358675342	7702.0
7000	-330.84455221834764	-14.949742949361589	-315.89480926898608	1073.0	64.0	1.0	0.0050349948658525738	0.0026814457373381877	0.015637752970980974	538.5379046068449	7702.0
8000	-331.17411048932922	-14.951395289326443	-316.22271520000277	1073.0	64.0	1.0	0.0056365396473575993	0.0033906285285158584	0.010414863118102692	540.50645798249957	7702.0
9000	-330.54839347196958	-14.981671459953821	-315.56672201201576	1073.0	64.0	1.0	0.004683233309160555	0.0027220763189667366	0.011471893619690733	541.99816718367379	7702.0
10000	-331.99278504260144	-14.957093312619115	-317.03569172998232	1073.0	64.0	1.0	0.0057198776616193747	0.0021399176462981204	0.016578626342164521	557.11611702266737	7702.0
11000	-330.39309121037655	-14.972251686388557	-315.42083952398798	1073.0	64.0	1.0	0.0049488477442678012	0.0024970837430468872	0.013364629399994823	548.66728208939003	7702.0
12000	-331.74229278779745	-14.916539637803274	-316.82575314999417	1073.0	64.0	1.0	0.0057724803045168119	0.0036983764347713957	0.013974552089685616	552.26460126603217	7702.0
13000	-330.32975855277357	-14.954225840574482	-315.37553271219906	1073.0	64.0	1.0	0.0052450752887518246	0.002993902207920928	0.01252192959265926	543.37519344621853	7702.0
14000	-331.63029772887921	-14.991846412088115	-316.63845131679108	1073.0	64.0	1.0	0.0057009683079194372	0.001798467751866227	0.013213301190494761	547.79119069104377	7702.0
15000	-332.49178928268401	-15.031562601816104	-317.46022668086789	1073.0	64.0	1.0	0.0039455550568407247	0.0021441942110452844	0.010230283748588861	545.3017612068686	7702.0
16000	-330.64196897927343	-14.984530663652766	-315.65743831562065	1073.0	64.0	1.0	0.0045834163530991132	0.0027099360157372271	0.011482339556932614	547.38887526797714	7702.0
17000	-333.86782344226134	-14.929935856083645	-318.93788758617768	1073.0	64.0	1.0	0.0057151898612338358	0.004595623119185651	0.0096704346777677433	557.9944115398913	7702.0
18000	-331.71484833901388	-14.924950907926259	-316.78989743108764	1073.0	64.0	1.0	0.0051703753798607067	0.0038384235599621883	0.013750659230187437	553.72784745208151	7702.0
19000	-331.20700877050831	-14.955836132127367	-316.25117263838092	1073.0	64.0	1.0	0.0062869860326517282	0.002797543692728261	0.010968625688146234	548.30609886175307	7702.0
20000	-330.43079339891398	-14.955026732214574	-315.47576666669943	1073.0	64.0	1.0	0.0056556911739079887	0.0026226363973521271	0.013272078128093496	544.01586743183782	7702.0
21000	-330.91681143968731	-14.936163466549242	-315.98064797313805	1073.0	64.0	1.0	0.0049618519927890365	0.0033099636092029016	0.01465574984496975	538.49224325947444	7702.0
22000	-330.8438976926534	-14.953739340595124	-315.89015835205828	1073.0	64.0	1.0	0.0046326494885546568	0.003287374432016123	0.01300537958300689	544.11414797661951	7702.0
23000	-330.79903547436277	-14.975724771280301	-315.82331070308248	1073.0	64.0	1.0	0.0048565717700544547	0.0022774891107717882	0.014449589222968767	541.14885326925526	7702.0
24000	-331.5424315724913	-14.955114683483817	-316.58731688900747	1073.0	64.0	1.0	0.0065884822129787602	0.0025685238200708243	0.011585665975407144	549.36434108700769	7702.0
25000	-331.86078340369153	-14.958684541372392	-316.90209886231912	1073.0	64.0	1.0	0.0067051418034840072	0.0025327612638819394	0.011016538278023381	543.90175330810655	7702.0
26000	-332.629202308956	-14.922669523196614	-317.70653278575941	1073.0	64.0	1.0	0.0063095436347134224	0.0039737869950160921	0.010774134374300569	541.33973755949546	7702.0
27000	-333.04524611714623	-14.924164911663123	-318.12108120548311	1073.0	64.0	1.0	0.0046507941046225803	0.0043690211055275241	0.013618145372258375	557.42609601287472	7702.0
28000	-331.69067297256072	-14.942560874450752	-316.74811209810997	1073.0	64.0	1.0	0.0060334228134733634	0.0023514451273670242	0.016314790118880169	546.8239811732326	7702.0
29000	-331.31339421082049	-14.97713097081844	-316.33626324000204	1073.0	64.0	1.0	0.0047912813270878547	0.0033070053552930172	0.009711638208611045	555.48385553822027	7702.0
30000	-331.49320390729832	-14.97409316348506	-316.51911074381326	1073.0	64.0	1.0	0.0061889455578358924	0.0027140565138589353	0.0094563885859549873	552.94748271186086	7702.0
31000	-333.83981470282572	-14.997485639252002	-318.84232906357374	1073.0	64.0	1.0	0.0040609844001830474	0.0036686891736121508	0.0082169395872512055	552.9610588136635	7702.0
32000	-331.38812677641835	-14.922778285445714	-316.46534849097264	1073.0	64.0	1.0	0.0051640827378851908	0.0034094962717987863	0.015927787544313784	542.460377889754	7702.0
33000	-335.85626598251514	-14.868399615822714	-320.9878663666924	1073.0	64.0	1.0	0.0059677958842652597	0.0041392470603987871	0.021056460602974787	543.45770405375822	7702.0
34000	-331.94743407505104	-14.920129504055492	-317.02730457099557	1073.0	64.0	1.0	0.006021527913467409	0.00328285762558234	0.015007320905167237	561.91006752416752	7702.0
35000	-331.53924114628171	-14.950488996719507	-316.5887521495622	1073.0	64.0	1.0	0.0049317487978999914	0.00281293464805373	0.015892496355916486	566.78575835188485	7702.0
36000	-333.59680102955633	-14.935821113963263	-318.66097991559309	1073.0	64.0	1.0	0.0074038661317399083	0.0023522949208314931	0.014628467616389957	563.33315861583083	7702.0
37000	-332.36025139340444	-14.961848780117847	-317.39840261328658	1073.0	64.0	1.0	0.00455226451296713	0.0024424701327825176	0.017390343663972477	557.05196523231245	7702.0
38000	-332.14906172034057	-15.002710131644797	-317.14635158869578	1073.0	64.0	1.0	0.0040134579465452604	0.0021251113632892813	0.014390969906683562	555.37667694111622	7702.0
39000	-330.62358181081277	-14.994406399153476	-315.62917541165928	1073.0	64.0	1.0	0.0054915919490155247	0.0021458154385536692	0.011100721091558454	555.54736270207957	7702.0
40000	-334.63962510993844	-14.992731923936798	-319.64689318600165	1073.0	64.0	1.0	0.0070052165732995171	0.0025334382720126271	0.0073102250858635177	553.29927221279968	7702.0
41000	-331.70688732329813	-14.979679538372693	-316.72720778492544	1073.0	64.0	1.0	0.004872784481500211	0.0031081475652239309	0.0099750555486086533	558.07870946263768	7702.0
42000	-330.54739868376362	-14.999687784034705	-315.54771089972888	1073.0	64.0	1.0	0.0047700915915596942	0.0023775843998768385	0.010880691977948519	556.6776971835352	7702.0
43000	-332.45123639358377	-15.027287241387643	-317.42394915219614	1073.0	64.0	1.0	0.0058407020027674474	0.0016046654405745002	0.0098733927769963838	554.66320987909921	7702.0
44000	-331.29595978412675	-15.007025515184981	-316.28893426894177	1073.0	64.0	1.0	0.0042070443658988798	0.0021902903297732921	0.01242821467209167	551.1338223605178	7702.0
45000	-332.87113980437749	-14.95798639364634	-317.91315341073113	1073.0	64.0	1.0	0.0050059293339396061	0.004156606915250694	0.009276891771561659	566.54127663272754	7702.0
46000	-332.1920100011717	-15.025250627849086	-317.16675937332263	1073.0	64.0	1.0	0.0041142143965862349	0.0017815524881726447	0.013735666014678797	569.16706639498727	7702.0
47000	-330.75169922010207	-14.965364376608084	-315.78633484349399	1073.0	64.0	1.0	0.0047642113864602752	0.0032249873934542526	0.012008912502569082	570.00062632167499	7702.0
48000	-330.76773749460523	-14.949199084740886	-315.81853840986435	1073.0	64.0	1.0	0.0059464816817559052	0.0030520644839648384	0.011944504605600629	566.74042787798226	7702.0
49000	-330.9981217414483	-14.988569825160612	-316.00955191628771	1073.0	64.0	1.0	0.0062185163684444194	0.0021275694063265824	0.010859331129396041	567.20128645332215	7702.0
50000	-333.87903844870834	-14.914846757094104	-318.96419169161425	1073.0	64.0	1.0	0.0048063792537594175	0.0038707576058383069	0.017221132976479068	564.30512384565384	7702.0
51000	-330.47425931811676	-14.963814470701642	-315.5104448474151	1073.0	64.0	1.0	0.0053126022331628289	0.0024974482005217947	0.013841378290225413	556.19063517145196	7702.0
52000	-331.62216224561996	-14.971694266185224	-316.65046797943472	1073.0	64.0	1.0	0.0052974595778708545	0.0033688433841239226	0.0090536561304355757	553.01183332967344	7702.0
53000	-331.06818649464884	-14.945252612990993	-316.12293388165784	1073.0	64.0	1.0	0.00556260469159692	0.0034932737860462722	0.011364682878449162	561.47557847017254	7702.0
54000	-331.1256929673221	-14.960133394377781	-316.16555957294429	1073.0	64.0	1.0	0.0047131594717737049	0.0034698320289503082	0.011589088874959956	562.61969915126122	7702.0
55000	-332.40761371518062	-14.980675687241487	-317.42693802793912	1073.0	64.0	1.0	0.005012545650701531	0.0036326357956989763	0.0083857091821430384	568.97896891245614	7702.0
56000	-330.70788225248208	-14.965925516284976	-315.7419567361971	1073.0	64.0	1.0	0.005958825778663664	0.0023740261163321718	0.013272458237124337	571.49985673421975	7702.0
57000	-332.87722430827142	-14.910602637847385	-317.96662167042405	1073.0	64.0	1.0	0.0066626089949625069	0.0035066223060428799	0.014336062782738222	569.72450219400605	7702.0
58000	-332.74373294853075	-14.942277159381621	-317.80145578914914	1073.0	64.0	1.0	0.0067786548668996686	0.002289885493380214	0.015479842797068932	564.7964465179823	7702.0
59000	-331.96402493925615	-15.002080657398066	-316.96194428185811	1073.0	64.0	1.0	0.004928513276083523	0.0017264779706094354	0.015245203436057021	568.2170254456322	7702.0
60000	-330.82216054555363	-14.95074929502255	-315.87141125053108	1073.0	64.0	1.0	0.0058621311873001776	0.0026611694444600054	0.013934593817315528	567.24317329804228	7702.0
61000	-331.66165156776663	-14.952249237043928	-316.7094023307227	1073.0	64.0	1.0	0.006688503955620837	0.0024690114411697285	0.013202048701213501	572.67251633475882	7702.0
62000	-332.50049894850213	-14.963140033457639	-317.53735891504448	1073.0	64.0	1.0	0.0060805203733897764	0.002034161080924675	0.0164534803680699	576.61272033608634	7702.0
63000	-331.35837584471204	-15.041826967052705	-316.31654887765933	1073.0	64.0	1.0	0.005808897459685422	0.001867276683442427	0.0086754771739419555	596.69039212828716	7702.0
64000	-330.61336424327106	-14.997535283156637	-315.61582896011441	1073.0	64.0	1.0	0.005575388562260363	0.0022683743222047716	0.011960469559507678	595.70070216536703	7702.0
65000	-333.74452214836492	-14.930105235906485	-318.81441691245846	1073.0	64.0	1.0	0.0062312123741415102	0.0034086955179238334	0.014921066247035143	597.74839948857152	7702.0
66000	-332.69857261865388	-14.94743163240947	-317.75114098624442	1073.0	64.0	1.0	0.0065966353032486337	0.0034131020186837836	0.011429625794971495	597.64271888899975	7702.0
67000	-332.60619695870042	-14.995979914103888	-317.61021704459654	1073.0	64.0	1.0	0.0053664736387804626	0.0035287945895984968	0.0080255777128178125	598.95367338661322	7702.0
68000	-330.60356858155922	-15.021078923684989	-315.58248965787425	1073.0	64.0	1.0	0.0047388810521080058	0.002214286561978536	0.011536403467121741	599.88786932697838	7702.0
69000	-332.74290622588927	-14.954161962230918	-317.78874426365837	1073.0	64.0	1.0	0.0047731819096990787	0.0034040630309589183	0.014240500684666677	589.35952669031826	7702.0
70000	-331.45525443338903	-14.937627076887873	-316.51762735650118	1073.0	64.0	1.0	0.005952023179291264	0.0033474319080683047	0.0136516270547105	587.62191881884121	7702.0
71000	-331.92547505558559	-14.948606492990061	-316.97686856259554	1073.0	64.0	1.0	0.0068844211058034397	0.0028238661426873779	0.01154203703543457	573.85638689171299	7702.0
72000	-330.99742253854112	-14.94683241853398	-316.05059012000714	1073.0	64.0	1.0	0.0062767337685196503	0.0028317482172611841	0.012397656259131692	562.1158335196219	7702.0
73000	-332.82945773302816	-15.01044391269031	-317.81901382033783	1073.0	64.0	1.0	0.0035203726569821426	0.0026437223698149784	0.012052868697221206	561.00878761666388	7702.0
74000	-331.23964825064667	-15.01080137263035	-316.22884687801633	1073.0	64.0	1.0	0.0040906948902486385	0.0022779106070581613	0.012045827369120911	561.79189211247422	7702.0
75000	-331.0482186950112	-14.993171642882567	-316.05504705212866	1073.0	64.0	1.0	0.0047041100991410349	0.0020700144141937021	0.014247648344064341	564.28542771013929	7702.0
76000	-332.17132261275447	-14.938999234742624	-317.23232337801187	1073.0	64.0	1.0	0.005932703016432569	0.0038645412507091643	0.010310349695049206	564.70207005466682	7702.0
77000	-331.17169026016126	-15.003638955625572	-316.16805130453571	1073.0	64.0	1.0	0.0041079839343056259	0.0026682533222780061	0.011355494971412449	572.64120483356885	7702.0
78000	-334.13632325770556	-15.001780821096926	-319.13454243660863	1073.0	64.0	1.0	0.0064697640778532883	0.0028672874188793787	0.0068416802504555696	578.13435556469994	7702.0
79000	-331.60633000626956	-15.042948917520155	-316.5633810887494	1073.0	64.0	1.0	0.005249991021757057	0.0018086266956113663	0.0088385651852618246	578.3985984817042	7702.0
80000	-331.36938006709511	-15.006360585404511	-316.36301948169057	1073.0	64.0	1.0	0.0056478595899876602	0.0017117079054185073	0.013367029564620363	581.18043568106111	7702.0
81000	-330.17573977096833	-14.995338433637128	-315.1804013373312	1073.0	64.0	1.0	0.0052986412191331498	0.0024752461787096456	0.010777665876131288	581.90185771253493	7702.0
82000	-334.61904863354596	-15.001726182105148	-319.61732245144083	1073.0	64.0	1.0	0.0076735157768517345	0.0015974181695768519	0.011707732163598531	591.78540110256063	7702.0
83000	-331.05004373831378	-14.982982711318986	-316.06706102699479	1073.0	64.0	1.0	0.0060423908528227368	0.0027654423484365482	0.01018958485086004	592.68998643552106	7702.0
84000	-330.52147700572164	-15.022968677962599	-315.49850832775905	1073.0	64.0	1.0	0.0054368334951851198	0.0019721380408427077	0.010370754080117776	590.48284810033351	7702.0
85000	-332.14744326165885	-15.038774949816402	-317.10866831184245	1073.0	64.0	1.0	0.0061821710484233471	0.001910408136441846	0.0080004762763716455	592.85715363156817	7702.0
86000	-330.57760698955337	-15.021528359881618	-315.55607862967173	1073.0	64.0	1.0	0.0056810070756781418	0.0021199402522076513	0.010110674223480816	602.33482888398476	7702.0
87000	-330.93989839258296	-15.013474399859431	-315.92642399272353	1073.0	64.0	1.0	0.0060870084970058875	0.0023365476080582513	0.0098955859112244606	610.40527541694132	7702.0
88000	-331.62835232303007	-15.020456239560659	-316.60789608346943	1073.0	64.0	1.0	0.0041953667201095751	0.0029001629374953821	0.01137142772413771	616.64202571663839	7702.0
89000	-331.95810244803027	-15.039251870358353	-316.91885057767195	1073.0	64.0	1.0	0.0054180492823978233	0.0015636805464290878	0.013488658493226518	613.62065519922965	7702.0
90000	-332.12026446972175	-15.044958891786775	-317.07530557793496	1073.0	64.0	1.0	0.0062534186896030641	0.0018567892081003989	0.0082430402388018777	603.85064202883029	7702.0
