clade	species	ts	te
3	1	517	330
2	2	795	538
3	3	175	105
3	4	175	105
3	5	650	450
2	6	1050	550
2	7	661	588
2	8	661	588
3	9	653	527
3	10	653	527
3	11	558	508
2	12	900	630
2	13	900	630
2	14	900	630
2	15	764	538
1	16	830	700
2	17	519	454
2	18	822	561
2	19	802	687
3	20	120	64
3	21	120	64
1	22	850	500
2	23	914	738
3	24	502	312
1	25	830	700
3	26	465	301
1	27	830	700
1	28	850	500
3	29	1047	765
1	30	830	700
2	31	663	534
2	32	1073	728
2	33	1073	728
1	34	450	200
3	35	650	450
3	36	650	450
1	37	850	500
1	38	850	500
2	39	490	400
2	40	490	400
